Handle,Title,"Body (HTML)",Vendor,"Product Category",Type,Tags,Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Qty","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Variant Image"
mars-heattech-trade-pullover-xs-orange,"Mars HeatTech&trade; Pullover-XS-Orange",,,Jackets,,,TRUE,Size,XS,Color,Orange,,,MJ10-XS-Orange,0,100,66.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mj10-orange_main.jpg,
mars-heattech-trade-pullover-xs-orange,"Mars HeatTech&trade; Pullover-XS-Orange",,,Jackets,,,TRUE,Size,XS,Color,Red,,,MJ10-XS-Red,0,100,66.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mj10-orange_main.jpg,
typhon-performance-fleece-lined-jacket,"Typhon Performance Fleece-lined Jacket",,,Jackets,,,TRUE,Size,L,Color,Black,,,MJ11-L-Black,0,100,60.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mj11-black_main.jpg,
typhon-performance-fleece-lined-jacket,"Typhon Performance Fleece-lined Jacket",,,Jackets,,,TRUE,Size,L,Color,Green,,,MJ11-L-Green,0,100,60.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mj11-black_main.jpg,
typhon-performance-fleece-lined-jacket,"Typhon Performance Fleece-lined Jacket",,,Jackets,,,TRUE,Size,L,Color,Red,,,MJ11-L-Red,0,100,60.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mj11-black_main.jpg,
typhon-performance-fleece-lined-jacket,"Typhon Performance Fleece-lined Jacket",,,Jackets,,,TRUE,Size,M,Color,Black,,,MJ11-M-Black,0,100,60.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mj11-black_main.jpg,
typhon-performance-fleece-lined-jacket,"Typhon Performance Fleece-lined Jacket",,,Jackets,,,TRUE,Size,M,Color,Green,,,MJ11-M-Green,0,100,60.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mj11-black_main.jpg,
typhon-performance-fleece-lined-jacket,"Typhon Performance Fleece-lined Jacket",,,Jackets,,,TRUE,Size,M,Color,Red,,,MJ11-M-Red,0,100,60.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mj11-black_main.jpg,
typhon-performance-fleece-lined-jacket,"Typhon Performance Fleece-lined Jacket",,,Jackets,,,TRUE,Size,S,Color,Black,,,MJ11-S-Black,0,100,60.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mj11-black_main.jpg,
typhon-performance-fleece-lined-jacket,"Typhon Performance Fleece-lined Jacket",,,Jackets,,,TRUE,Size,S,Color,Green,,,MJ11-S-Green,0,100,60.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mj11-black_main.jpg,
typhon-performance-fleece-lined-jacket,"Typhon Performance Fleece-lined Jacket",,,Jackets,,,TRUE,Size,S,Color,Red,,,MJ11-S-Red,0,100,60.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mj11-black_main.jpg,
typhon-performance-fleece-lined-jacket,"Typhon Performance Fleece-lined Jacket",,,Jackets,,,TRUE,Size,XL,Color,Black,,,MJ11-XL-Black,0,100,60.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mj11-black_main.jpg,
typhon-performance-fleece-lined-jacket,"Typhon Performance Fleece-lined Jacket",,,Jackets,,,TRUE,Size,XL,Color,Green,,,MJ11-XL-Green,0,100,60.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mj11-black_main.jpg,
typhon-performance-fleece-lined-jacket,"Typhon Performance Fleece-lined Jacket",,,Jackets,,,TRUE,Size,XL,Color,Red,,,MJ11-XL-Red,0,100,60.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mj11-black_main.jpg,
typhon-performance-fleece-lined-jacket,"Typhon Performance Fleece-lined Jacket",,,Jackets,,,TRUE,Size,XS,Color,Black,,,MJ11-XS-Black,0,100,60.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mj11-black_main.jpg,
typhon-performance-fleece-lined-jacket,"Typhon Performance Fleece-lined Jacket",,,Jackets,,,TRUE,Size,XS,Color,Green,,,MJ11-XS-Green,0,100,60.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mj11-black_main.jpg,
typhon-performance-fleece-lined-jacket,"Typhon Performance Fleece-lined Jacket",,,Jackets,,,TRUE,Size,XS,Color,Red,,,MJ11-XS-Red,0,100,60.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mj11-black_main.jpg,
proteus-fitness-jackshirt,"Proteus Fitness Jackshirt",,,Jackets,,,TRUE,Size,L,Color,Black,,,MJ12-L-Black,0,100,45.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mj12-black_main.jpg,
proteus-fitness-jackshirt,"Proteus Fitness Jackshirt",,,Jackets,,,TRUE,Size,L,Color,Blue,,,MJ12-L-Blue,0,100,45.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mj12-black_main.jpg,
proteus-fitness-jackshirt,"Proteus Fitness Jackshirt",,,Jackets,,,TRUE,Size,L,Color,Orange,,,MJ12-L-Orange,0,100,45.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mj12-black_main.jpg,
proteus-fitness-jackshirt,"Proteus Fitness Jackshirt",,,Jackets,,,TRUE,Size,M,Color,Black,,,MJ12-M-Black,0,100,45.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mj12-black_main.jpg,
proteus-fitness-jackshirt,"Proteus Fitness Jackshirt",,,Jackets,,,TRUE,Size,M,Color,Blue,,,MJ12-M-Blue,0,100,45.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mj12-black_main.jpg,
proteus-fitness-jackshirt,"Proteus Fitness Jackshirt",,,Jackets,,,TRUE,Size,M,Color,Orange,,,MJ12-M-Orange,0,100,45.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mj12-black_main.jpg,
proteus-fitness-jackshirt,"Proteus Fitness Jackshirt",,,Jackets,,,TRUE,Size,S,Color,Black,,,MJ12-S-Black,0,100,45.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mj12-black_main.jpg,
proteus-fitness-jackshirt,"Proteus Fitness Jackshirt",,,Jackets,,,TRUE,Size,S,Color,Blue,,,MJ12-S-Blue,0,100,45.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mj12-black_main.jpg,
proteus-fitness-jackshirt,"Proteus Fitness Jackshirt",,,Jackets,,,TRUE,Size,S,Color,Orange,,,MJ12-S-Orange,0,100,45.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mj12-black_main.jpg,
proteus-fitness-jackshirt,"Proteus Fitness Jackshirt",,,Jackets,,,TRUE,Size,XL,Color,Black,,,MJ12-XL-Black,0,100,45.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mj12-black_main.jpg,
proteus-fitness-jackshirt,"Proteus Fitness Jackshirt",,,Jackets,,,TRUE,Size,XL,Color,Blue,,,MJ12-XL-Blue,0,100,45.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mj12-black_main.jpg,
proteus-fitness-jackshirt,"Proteus Fitness Jackshirt",,,Jackets,,,TRUE,Size,XL,Color,Orange,,,MJ12-XL-Orange,0,100,45.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mj12-black_main.jpg,
proteus-fitness-jackshirt,"Proteus Fitness Jackshirt",,,Jackets,,,TRUE,Size,XS,Color,Black,,,MJ12-XS-Black,0,100,45.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mj12-black_main.jpg,
proteus-fitness-jackshirt,"Proteus Fitness Jackshirt",,,Jackets,,,TRUE,Size,XS,Color,Blue,,,MJ12-XS-Blue,0,100,45.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mj12-black_main.jpg,
proteus-fitness-jackshirt,"Proteus Fitness Jackshirt",,,Jackets,,,TRUE,Size,XS,Color,Orange,,,MJ12-XS-Orange,0,100,45.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mj12-black_main.jpg,
caesar-warm-up-pant,"Caesar Warm-Up Pant",,,"Clothing,Pants",,,TRUE,Size,32,Color,Black,,,MP01-32-Black,0,100,35.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp01-black_main.jpg,
caesar-warm-up-pant,"Caesar Warm-Up Pant",,,"Clothing,Pants",,,TRUE,Size,32,Color,Gray,,,MP01-32-Gray,0,100,35.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp01-black_main.jpg,
caesar-warm-up-pant,"Caesar Warm-Up Pant",,,"Clothing,Pants",,,TRUE,Size,32,Color,Purple,,,MP01-32-Purple,0,100,35.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp01-black_main.jpg,
caesar-warm-up-pant,"Caesar Warm-Up Pant",,,"Clothing,Pants",,,TRUE,Size,33,Color,Black,,,MP01-33-Black,0,100,35.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp01-black_main.jpg,
caesar-warm-up-pant,"Caesar Warm-Up Pant",,,"Clothing,Pants",,,TRUE,Size,33,Color,Gray,,,MP01-33-Gray,0,100,35.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp01-black_main.jpg,
caesar-warm-up-pant,"Caesar Warm-Up Pant",,,"Clothing,Pants",,,TRUE,Size,33,Color,Purple,,,MP01-33-Purple,0,100,35.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp01-black_main.jpg,
caesar-warm-up-pant,"Caesar Warm-Up Pant",,,"Clothing,Pants",,,TRUE,Size,34,Color,Black,,,MP01-34-Black,0,100,35.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp01-black_main.jpg,
caesar-warm-up-pant,"Caesar Warm-Up Pant",,,"Clothing,Pants",,,TRUE,Size,34,Color,Gray,,,MP01-34-Gray,0,100,35.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp01-black_main.jpg,
caesar-warm-up-pant,"Caesar Warm-Up Pant",,,"Clothing,Pants",,,TRUE,Size,34,Color,Purple,,,MP01-34-Purple,0,100,35.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp01-black_main.jpg,
caesar-warm-up-pant,"Caesar Warm-Up Pant",,,"Clothing,Pants",,,TRUE,Size,36,Color,Black,,,MP01-36-Black,0,100,35.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp01-black_main.jpg,
caesar-warm-up-pant,"Caesar Warm-Up Pant",,,"Clothing,Pants",,,TRUE,Size,36,Color,Gray,,,MP01-36-Gray,0,100,35.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp01-black_main.jpg,
caesar-warm-up-pant,"Caesar Warm-Up Pant",,,"Clothing,Pants",,,TRUE,Size,36,Color,Purple,,,MP01-36-Purple,0,100,35.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp01-black_main.jpg,
viktor-lumatech-trade-pant,"Viktor LumaTech&trade; Pant",,,"Clothing,Pants,Performance Fabrics",,,TRUE,Size,32,Color,Blue,,,MP02-32-Blue,0,100,46.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp02-blue_main.jpg,
viktor-lumatech-trade-pant,"Viktor LumaTech&trade; Pant",,,"Clothing,Pants,Performance Fabrics",,,TRUE,Size,32,Color,Gray,,,MP02-32-Gray,0,100,46.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp02-blue_main.jpg,
viktor-lumatech-trade-pant-32-red,"Viktor LumaTech&trade; Pant-32-Red",,,"Clothing,Pants,Performance Fabrics",,,TRUE,Size,32,Color,Red,,,MP02-32-Red,0,100,46.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp02-red_main.jpg,
viktor-lumatech-trade-pant-32-red,"Viktor LumaTech&trade; Pant-32-Red",,,"Clothing,Pants,Performance Fabrics",,,TRUE,Size,33,Color,Blue,,,MP02-33-Blue,0,100,46.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp02-red_main.jpg,
viktor-lumatech-trade-pant-32-red,"Viktor LumaTech&trade; Pant-32-Red",,,"Clothing,Pants,Performance Fabrics",,,TRUE,Size,33,Color,Gray,,,MP02-33-Gray,0,100,46.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp02-red_main.jpg,
viktor-lumatech-trade-pant-32-red,"Viktor LumaTech&trade; Pant-32-Red",,,"Clothing,Pants,Performance Fabrics",,,TRUE,Size,33,Color,Red,,,MP02-33-Red,0,100,46.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp02-red_main.jpg,
viktor-lumatech-trade-pant-32-red,"Viktor LumaTech&trade; Pant-32-Red",,,"Clothing,Pants,Performance Fabrics",,,TRUE,Size,34,Color,Blue,,,MP02-34-Blue,0,100,46.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp02-red_main.jpg,
viktor-lumatech-trade-pant-32-red,"Viktor LumaTech&trade; Pant-32-Red",,,"Clothing,Pants,Performance Fabrics",,,TRUE,Size,34,Color,Gray,,,MP02-34-Gray,0,100,46.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp02-red_main.jpg,
viktor-lumatech-trade-pant-32-red,"Viktor LumaTech&trade; Pant-32-Red",,,"Clothing,Pants,Performance Fabrics",,,TRUE,Size,34,Color,Red,,,MP02-34-Red,0,100,46.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp02-red_main.jpg,
viktor-lumatech-trade-pant-32-red,"Viktor LumaTech&trade; Pant-32-Red",,,"Clothing,Pants,Performance Fabrics",,,TRUE,Size,36,Color,Blue,,,MP02-36-Blue,0,100,46.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp02-red_main.jpg,
viktor-lumatech-trade-pant-32-red,"Viktor LumaTech&trade; Pant-32-Red",,,"Clothing,Pants,Performance Fabrics",,,TRUE,Size,36,Color,Gray,,,MP02-36-Gray,0,100,46.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp02-red_main.jpg,
viktor-lumatech-trade-pant-32-red,"Viktor LumaTech&trade; Pant-32-Red",,,"Clothing,Pants,Performance Fabrics",,,TRUE,Size,36,Color,Red,,,MP02-36-Red,0,100,46.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp02-red_main.jpg,
geo-insulated-jogging-pant,"Geo Insulated Jogging Pant",,,"Clothing,New Luma Yoga Collection,Pants",,,TRUE,Size,32,Color,Blue,,,MP03-32-Blue,0,100,51.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp03-blue_main.jpg,
geo-insulated-jogging-pant,"Geo Insulated Jogging Pant",,,"Clothing,New Luma Yoga Collection,Pants",,,TRUE,Size,32,Color,Green,,,MP03-32-Green,0,100,51.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp03-blue_main.jpg,
geo-insulated-jogging-pant,"Geo Insulated Jogging Pant",,,"Clothing,New Luma Yoga Collection,Pants",,,TRUE,Size,32,Color,Red,,,MP03-32-Red,0,100,51.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp03-blue_main.jpg,
geo-insulated-jogging-pant,"Geo Insulated Jogging Pant",,,"Clothing,New Luma Yoga Collection,Pants",,,TRUE,Size,33,Color,Blue,,,MP03-33-Blue,0,100,51.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp03-blue_main.jpg,
geo-insulated-jogging-pant,"Geo Insulated Jogging Pant",,,"Clothing,New Luma Yoga Collection,Pants",,,TRUE,Size,33,Color,Green,,,MP03-33-Green,0,100,51.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp03-blue_main.jpg,
geo-insulated-jogging-pant,"Geo Insulated Jogging Pant",,,"Clothing,New Luma Yoga Collection,Pants",,,TRUE,Size,33,Color,Red,,,MP03-33-Red,0,100,51.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp03-blue_main.jpg,
geo-insulated-jogging-pant,"Geo Insulated Jogging Pant",,,"Clothing,New Luma Yoga Collection,Pants",,,TRUE,Size,34,Color,Blue,,,MP03-34-Blue,0,100,51.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp03-blue_main.jpg,
geo-insulated-jogging-pant,"Geo Insulated Jogging Pant",,,"Clothing,New Luma Yoga Collection,Pants",,,TRUE,Size,34,Color,Green,,,MP03-34-Green,0,100,51.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp03-blue_main.jpg,
geo-insulated-jogging-pant,"Geo Insulated Jogging Pant",,,"Clothing,New Luma Yoga Collection,Pants",,,TRUE,Size,34,Color,Red,,,MP03-34-Red,0,100,51.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp03-blue_main.jpg,
geo-insulated-jogging-pant,"Geo Insulated Jogging Pant",,,"Clothing,New Luma Yoga Collection,Pants",,,TRUE,Size,36,Color,Blue,,,MP03-36-Blue,0,100,51.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp03-blue_main.jpg,
geo-insulated-jogging-pant,"Geo Insulated Jogging Pant",,,"Clothing,New Luma Yoga Collection,Pants",,,TRUE,Size,36,Color,Green,,,MP03-36-Green,0,100,51.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp03-blue_main.jpg,
geo-insulated-jogging-pant,"Geo Insulated Jogging Pant",,,"Clothing,New Luma Yoga Collection,Pants",,,TRUE,Size,36,Color,Red,,,MP03-36-Red,0,100,51.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp03-blue_main.jpg,
supernova-sport-pant,"Supernova Sport Pant",,,"Clothing,Pants",,,TRUE,Size,32,Color,Black,,,MP04-32-Black,0,100,45.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp04-black_main.jpg,
supernova-sport-pant,"Supernova Sport Pant",,,"Clothing,Pants",,,TRUE,Size,32,Color,Gray,,,MP04-32-Gray,0,100,45.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp04-black_main.jpg,
supernova-sport-pant,"Supernova Sport Pant",,,"Clothing,Pants",,,TRUE,Size,32,Color,Green,,,MP04-32-Green,0,100,45.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp04-black_main.jpg,
supernova-sport-pant,"Supernova Sport Pant",,,"Clothing,Pants",,,TRUE,Size,33,Color,Black,,,MP04-33-Black,0,100,45.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp04-black_main.jpg,
supernova-sport-pant,"Supernova Sport Pant",,,"Clothing,Pants",,,TRUE,Size,33,Color,Gray,,,MP04-33-Gray,0,100,45.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp04-black_main.jpg,
supernova-sport-pant,"Supernova Sport Pant",,,"Clothing,Pants",,,TRUE,Size,33,Color,Green,,,MP04-33-Green,0,100,45.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp04-black_main.jpg,
supernova-sport-pant,"Supernova Sport Pant",,,"Clothing,Pants",,,TRUE,Size,34,Color,Black,,,MP04-34-Black,0,100,45.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp04-black_main.jpg,
supernova-sport-pant,"Supernova Sport Pant",,,"Clothing,Pants",,,TRUE,Size,34,Color,Gray,,,MP04-34-Gray,0,100,45.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp04-black_main.jpg,
supernova-sport-pant,"Supernova Sport Pant",,,"Clothing,Pants",,,TRUE,Size,34,Color,Green,,,MP04-34-Green,0,100,45.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp04-black_main.jpg,
supernova-sport-pant,"Supernova Sport Pant",,,"Clothing,Pants",,,TRUE,Size,36,Color,Black,,,MP04-36-Black,0,100,45.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp04-black_main.jpg,
supernova-sport-pant,"Supernova Sport Pant",,,"Clothing,Pants",,,TRUE,Size,36,Color,Gray,,,MP04-36-Gray,0,100,45.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp04-black_main.jpg,
supernova-sport-pant,"Supernova Sport Pant",,,"Clothing,Pants",,,TRUE,Size,36,Color,Green,,,MP04-36-Green,0,100,45.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp04-black_main.jpg,
kratos-gym-pant,"Kratos Gym Pant",,,"Clothing,New Luma Yoga Collection,Pants",,,TRUE,Size,32,Color,Black,,,MP05-32-Black,0,100,57.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp05-black_main.jpg,
kratos-gym-pant,"Kratos Gym Pant",,,"Clothing,New Luma Yoga Collection,Pants",,,TRUE,Size,32,Color,Blue,,,MP05-32-Blue,0,100,57.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp05-black_main.jpg,
kratos-gym-pant,"Kratos Gym Pant",,,"Clothing,New Luma Yoga Collection,Pants",,,TRUE,Size,32,Color,Green,,,MP05-32-Green,0,100,57.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp05-black_main.jpg,
kratos-gym-pant,"Kratos Gym Pant",,,"Clothing,New Luma Yoga Collection,Pants",,,TRUE,Size,33,Color,Black,,,MP05-33-Black,0,100,57.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp05-black_main.jpg,
kratos-gym-pant,"Kratos Gym Pant",,,"Clothing,New Luma Yoga Collection,Pants",,,TRUE,Size,33,Color,Blue,,,MP05-33-Blue,0,100,57.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp05-black_main.jpg,
kratos-gym-pant,"Kratos Gym Pant",,,"Clothing,New Luma Yoga Collection,Pants",,,TRUE,Size,33,Color,Green,,,MP05-33-Green,0,100,57.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp05-black_main.jpg,
kratos-gym-pant,"Kratos Gym Pant",,,"Clothing,New Luma Yoga Collection,Pants",,,TRUE,Size,34,Color,Black,,,MP05-34-Black,0,100,57.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp05-black_main.jpg,
kratos-gym-pant,"Kratos Gym Pant",,,"Clothing,New Luma Yoga Collection,Pants",,,TRUE,Size,34,Color,Blue,,,MP05-34-Blue,0,100,57.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp05-black_main.jpg,
kratos-gym-pant,"Kratos Gym Pant",,,"Clothing,New Luma Yoga Collection,Pants",,,TRUE,Size,34,Color,Green,,,MP05-34-Green,0,100,57.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp05-black_main.jpg,
kratos-gym-pant,"Kratos Gym Pant",,,"Clothing,New Luma Yoga Collection,Pants",,,TRUE,Size,36,Color,Black,,,MP05-36-Black,0,100,57.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp05-black_main.jpg,
kratos-gym-pant,"Kratos Gym Pant",,,"Clothing,New Luma Yoga Collection,Pants",,,TRUE,Size,36,Color,Blue,,,MP05-36-Blue,0,100,57.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp05-black_main.jpg,
kratos-gym-pant,"Kratos Gym Pant",,,"Clothing,New Luma Yoga Collection,Pants",,,TRUE,Size,36,Color,Green,,,MP05-36-Green,0,100,57.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp05-black_main.jpg,
mithra-warmup-pant-32-gray,"Mithra Warmup Pant-32-Gray",,,"Clothing,Eco Friendly,Pants",,,TRUE,Size,32,Color,Gray,,,MP06-32-Gray,0,100,28.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp06-gray_main.jpg,
mithra-warmup-pant-32-gray,"Mithra Warmup Pant-32-Gray",,,"Clothing,Eco Friendly,Pants",,,TRUE,Size,32,Color,Green,,,MP06-32-Green,0,100,28.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp06-gray_main.jpg,
mithra-warmup-pant-32-gray,"Mithra Warmup Pant-32-Gray",,,"Clothing,Eco Friendly,Pants",,,TRUE,Size,32,Color,Orange,,,MP06-32-Orange,0,100,28.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp06-gray_main.jpg,
mithra-warmup-pant-32-gray,"Mithra Warmup Pant-32-Gray",,,"Clothing,Eco Friendly,Pants",,,TRUE,Size,33,Color,Gray,,,MP06-33-Gray,0,100,28.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp06-gray_main.jpg,
mithra-warmup-pant-32-gray,"Mithra Warmup Pant-32-Gray",,,"Clothing,Eco Friendly,Pants",,,TRUE,Size,33,Color,Green,,,MP06-33-Green,0,100,28.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp06-gray_main.jpg,
mithra-warmup-pant-32-gray,"Mithra Warmup Pant-32-Gray",,,"Clothing,Eco Friendly,Pants",,,TRUE,Size,33,Color,Orange,,,MP06-33-Orange,0,100,28.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp06-gray_main.jpg,
mithra-warmup-pant-32-gray,"Mithra Warmup Pant-32-Gray",,,"Clothing,Eco Friendly,Pants",,,TRUE,Size,34,Color,Gray,,,MP06-34-Gray,0,100,28.00,,TRUE,TRUE,,https://github.com/iconicwp/woocommerce-sample-data/raw/main/images/mp06-gray_main.jpg,
